PII_uM,Kp_uM,Kq_uM,gain_R_over_H,max_absolute_GS_fraction_difference
5.000000000000000000e-01,2.065174747290344712e-02,6.439523050662339099e-01,8.976352963037953492e-01,2.358565455623332086e-02
5.000000000000000000e-01,2.065174747290344712e-02,7.063860434225154306e-01,8.976352963037955712e-01,2.351492749029740481e-02
5.000000000000000000e-01,2.065174747290344712e-02,7.748729811453863858e-01,8.976352963037955712e-01,2.344915976497702337e-02
5.000000000000000000e-01,2.065174747290344712e-02,8.499999999999999778e-01,8.976352963037956822e-01,2.338567031971658383e-02
5.000000000000000000e-01,2.843297824563826778e-02,2.800000000000000266e-01,8.766515705581551243e-01,2.159774333070366148e-02
5.000000000000000000e-01,2.843297824563826778e-02,3.071471141608240196e-01,8.766515705581552353e-01,2.152910519641537679e-02
5.000000000000000000e-01,2.843297824563826778e-02,3.369262490618652461e-01,8.766515705581552353e-01,2.146010875328474565e-02
5.000000000000000000e-01,2.843297824563826778e-02,3.695925895870819655e-01,8.766515705581550133e-01,2.139503811540560685e-02
5.000000000000000000e-01,2.843297824563826778e-02,4.054260618103502356e-01,8.766515705581551243e-01,2.133045111640469171e-02
5.000000000000000000e-01,2.843297824563826778e-02,4.447337317522747635e-01,8.766515705581551243e-01,2.126634465634455462e-02
5.000000000000000000e-01,2.843297824563826778e-02,4.878524367060187439e-01,8.766515705581552353e-01,2.120298544700677246e-02
5.000000000000000000e-01,2.843297824563826778e-02,5.351516716806418161e-01,8.766515705581551243e-01,2.114062763188878646e-02
5.000000000000000000e-01,2.843297824563826778e-02,5.870367556966068490e-01,8.766515705581552353e-01,2.107950887454848599e-02
5.000000000000000000e-01,2.843297824563826778e-02,6.439523050662339099e-01,8.766515705581551243e-01,2.101984701241499387e-02
5.000000000000000000e-01,2.843297824563826778e-02,7.063860434225154306e-01,8.766515705581552353e-01,2.096183736453083313e-02
5.000000000000000000e-01,2.843297824563826778e-02,7.748729811453863858e-01,8.766515705581552353e-01,2.090565074597530715e-02
5.000000000000000000e-01,2.843297824563826778e-02,8.499999999999999778e-01,8.766515705581552353e-01,2.085143220571586409e-02
5.000000000000000000e-01,3.914604577543194519e-02,2.800000000000000266e-01,8.550733823046311466e-01,2.180165791896471195e-02
5.000000000000000000e-01,3.914604577543194519e-02,3.071471141608240196e-01,8.550733823046311466e-01,2.162659953962176029e-02
5.000000000000000000e-01,3.914604577543194519e-02,3.369262490618652461e-01,8.550733823046311466e-01,2.145764980431452695e-02
5.000000000000000000e-01,3.914604577543194519e-02,3.695925895870819655e-01,8.550733823046311466e-01,2.129508734685803262e-02
5.000000000000000000e-01,3.914604577543194519e-02,4.054260618103502356e-01,8.550733823046310356e-01,2.113908347982274005e-02
5.000000000000000000e-01,3.914604577543194519e-02,4.447337317522747635e-01,8.550733823046310356e-01,2.098970025915991577e-02
5.000000000000000000e-01,3.914604577543194519e-02,4.878524367060187439e-01,8.550733823046312576e-01,2.084689072544421151e-02
5.000000000000000000e-01,3.914604577543194519e-02,5.351516716806418161e-01,8.550733823046311466e-01,2.071059828310173323e-02
5.000000000000000000e-01,3.914604577543194519e-02,5.870367556966068490e-01,8.550733823046311466e-01,2.058208733515887179e-02
5.000000000000000000e-01,3.914604577543194519e-02,6.439523050662339099e-01,8.550733823046310356e-01,2.045976453097198000e-02
5.000000000000000000e-01,3.914604577543194519e-02,7.063860434225154306e-01,8.550733823046311466e-01,2.034425422900076885e-02
5.000000000000000000e-01,3.914604577543194519e-02,7.748729811453863858e-01,8.550733823046311466e-01,2.023555959923517555e-02
5.000000000000000000e-01,3.914604577543194519e-02,8.499999999999999778e-01,8.550733823046311466e-01,2.013304017537620449e-02
5.000000000000000000e-01,5.389561679446264186e-02,2.800000000000000266e-01,8.339783312106774371e-01,2.264269777414018581e-02
5.000000000000000000e-01,5.389561679446264186e-02,3.071471141608240196e-01,8.339783312106774371e-01,2.244726577326294770e-02
5.000000000000000000e-01,5.389561679446264186e-02,3.369262490618652461e-01,8.339783312106775481e-01,2.225891003001911894e-02
5.000000000000000000e-01,5.389561679446264186e-02,3.695925895870819655e-01,8.339783312106774371e-01,2.207787979169195669e-02
