model,G_mM,GS_fraction,AT_capacity,AR_capacity,E,EG,EP,EU,EGP,EPU
reference,8.834074965818349,0.9975346571260575,10.04458876037797,0.02482455636521334,0.011544797996115996,0.006537667369417832,0.19658204587097886,0.02482455636521334,0.654834287389958,0.10567664500831592
reference,8.956264791899397,0.9975698986270912,10.088291437981209,0.024575291322925255,0.011437044184095623,0.006566230522398294,0.19482118408920449,0.024575291322925255,0.6579449893568223,0.10465526052455403
reference,9.080144704792643,0.997604586627867,10.131765060472357,0.024328041224433286,0.011329874380168588,0.006594673003785489,0.1930670884679973,0.024328041224433286,0.6610396308530989,0.10364069207051652
reference,9.205738081186013,0.9976387318206765,10.17500782975925,0.02408278813406748,0.01122329218207317,0.0066229928356915544,0.19131992654436694,0.02408278813406748,0.6641180744642493,0.10263292583955164
reference,9.333068621105603,0.9976723446195265,10.218017993417337,0.023839514734893485,0.011117301105279281,0.0066511880831451745,0.18957986123392465,0.023839514734893485,0.6671801863031285,0.10163194853962877
reference,9.462160352387933,0.9977054351694563,10.260793845172834,0.023598204300244015,0.011011904580672631,0.006679256854328183,0.1878470508822391,0.023598204300244015,0.6702258360373007,0.10063774734521544
reference,9.593037635214122,0.9977380133555008,10.303333725353474,0.023358840666184964,0.010907105952363955,0.006707197300788165,0.1861216493159942,0.023358840666184964,0.6732548969141995,0.09965030985046926
reference,9.725725166706805,0.9977700888113086,10.345636021306822,0.023121408204894806,0.010802908475621735,0.0067350076176272144,0.18440380589397054,0.023121408204894806,0.6762672457841273,0.09866962402375845
reference,9.860247985590524,0.9978016709274312,10.387699167786005,0.022885891798935402,0.010699315314926485,0.006762686043666777,0.18269366555786798,0.022885891798935402,0.6792627631210847,0.09769567816351869
reference,9.996631476916669,0.9978327688592973,10.429521647303032,0.022652276816393313,0.010596329542144765,0.006790230861588868,0.18099136888298503,0.022652276816393313,0.6822413330414346,0.09672846085545328
reference,10.134901376853794,0.9978633915348829,10.471101990449643,0.022420549086870523,0.01049395413482097,0.006817640398053694,0.1792970521287714,0.022420549086870523,0.6852028433204039,0.09576796093107956
reference,10.275083777544076,0.9978935476620933,10.512438776185851,0.022190694878304867,0.01039219197458524,0.00684491302379388,0.17761084728926943,0.022190694878304867,0.6881471854064216,0.0948141674276249
reference,10.417205132027044,0.997923245735863,10.553530632096306,0.021962700874599686,0.010291045845675327,0.006872047153685551,0.17593288214345798,0.021962700874599686,0.6910742544333105,0.09386706954927097
reference,10.561292259231434,0.9979524940449919,10.594376234614675,0.02173655415404317,0.010190518433570538,0.006899041246796396,0.17426328030550942,0.02173655415404317,0.6939839492303372,0.09292665662974317
reference,10.707372349035952,0.997981300678721,10.634974309216215,0.0215122421684984,0.010090612323735933,0.006925893806410996,0.17260216127497593,0.0215122421684984,0.6968761723301363,0.0919929180962425
reference,10.855472967400177,0.9980096735330662,10.67532363057887,0.02128975272334477,0.009991330000474526,0.006952603380033694,0.17094964048691075,0.02128975272334477,0.6997508299745242,0.09106584343471202
reference,11.0056220615664,0.9980376203169111,10.715423022713136,0.021069073958152516,0.009892673845885715,0.00697916855936928,0.16930582936193708,0.021069073958152516,0.7026078321182245,0.0901454221564309
reference,11.157847965333332,0.9980651485578766,10.755271359060991,0.020850194328071916,0.009794646138927735,0.0070055879802817175,0.1676708353562733,0.020850194328071916,0.7054470924305183,0.08923164376592707
