# Fig 8c
Khat2,factor_linear,factor_complementary
160.41707625083342,2.379424569411436,2.1958025515622883
183.03318327443435,2.3904173480478264,2.2146466532658864
208.83778063121645,2.4003098940542014,2.232253224993611
238.2803917778109,2.4091013319446177,2.248600333182123
271.87391541020867,2.4167911309227836,2.263670154037383
310.2035603055461,2.423378912502519,2.277448420410412
353.9370398261566,2.4288642861368417,2.289923900732916
403.83620367707033,2.4332467118799426,2.301087916907559
460.77030954547763,2.4365253891456145,2.310933905833994
525.7311658179351,2.438699170853484,2.319457027511977
599.8504091657526,2.4397665024672683,2.3266538213655212
684.4192179790383,2.4397253856865335,2.3325219114836933
780.9108050630708,2.43857336682719,2.3370597608504293
891.0060814261507,2.4363075502177964,2.3402664742682413
1016.6229382295012,2.4329246372293265,2.3421416495214205
1159.9496569991095,2.4284209918536948,2.3426852763199317
1323.483030114958,2.4227927340739916,2.341897682690098
1510.0718556474458,2.416035862430307,2.339779528658086
1722.966564233514,2.40814640753517,2.336331847321763
1965.8758425067406,2.399120618594632,2.3315561335863833
2243.0312394778475,2.3889551846682964,2.325454481233847
2559.260881327137,2.3776474930944342,2.3180297688593234
2920.073578741631,2.3651959269549896,2.309285895517939
3331.7547919707295,2.3516002033462713,2.2992280666962945
3801.4761253391507,2.3368617539531082,2.287863130969323
4337.420258642648,2.320984148475743,2.275199967145643
4948.923491767353,2.303973560802393,2.2612499209033747
5646.638385700547,2.285839276156915,2.2460272886938513
6442.719333185794,2.2665942359238143,2.2295498450278095
7351.03429171622,2.246255614614026,2.211839407146715
8387.406367315314,2.2248454204550994,2.192922428756557
9569.889457563317,2.2023911082512058,2.172830610675452
10919.082755649937,2.1789261893405287,2.1516015137031825
12458.489594203756,2.1544908191500842,2.1292791538254376
14214.92688005946,2.1291323394621378,2.105914557027205
16218.992252435466,2.10290574779676,2.0815662459617252
18505.597102547967,2.0758740634404003,2.0563006278567313
21114.5747400188,2.0481085572047433,2.0301922504082923
24091.37430050567,2.0196888114349743,2.0033238915675886
27487.852482628234,1.9907025785454469,1.975786450892537
31363.176906469707,1.9612454107509607,1.9476786136010102
35784.8568304182,1.9314200414524496,1.919106266737599
40829.91918173253,1.901335509394041,1.8901816566283214
46586.25038761443,1.8711060302986362,1.8610222905377398
53154.12738187582,1.8408496361531814,1.8317496007277076
60647.96445776763,1.8106866180915946,1.8024874051542905
69198.30639764728,1.7807378236308218,1.7733602141343254
78954.10260037878,1.7511228706944555,1.7444914444817505
90085.30182240174,1.7219583479547025,1.7160016105511418
102785.8127336166,1.6933560724780732,1.6880065636059993
117276.88186179566,1.6654214710589728,1.6606158472022667
133810.94777029776,1.638252141626719,1.6339312267085713
152676.03860994522,1.6119366369197212,1.608045437465253
174200.78965167786,1.586553496478533,1.5830411796726143
198760.16820685085,1.5621705365566663,1.558990371983637
226782.00566489116,1.538844393316079,1.5359536607472526
258754.4504383149,1.5166203035649362,1.5139801706200688
295234.47164750186,1.4955321006845412,1.493107474713481
336857.5616818539,1.4756023999337753,1.4733617589847077
384348.8066587534,1.4568429487242378,1.4547581559915974
438535.5176308169,1.4392551192163225,1.4373012252221993
500361.6425807634,1.4228305248086175,1.4209855606783006
