G_mM,U,p0,p1,p2,p3,variance
2.815492076751360470e-02,2.961688418434172299e+00,2.082698854173644143e-06,4.830109974625049251e-04,3.733931147434028236e-02,9.621755948293430061e-01,3.782232247180061790e-02
2.856680962954248962e-02,2.961509833057317742e+00,2.111959667370497905e-06,4.874951047564080367e-04,3.750884085416743979e-02,9.620015520814088061e-01,3.799633595892260018e-02
2.898472416772457025e-02,2.961325963065970068e+00,2.142371384091144957e-06,4.921332634392969196e-04,3.768334329299906360e-02,9.618223810721775457e-01,3.817547655643949156e-02
2.940875253392906050e-02,2.961136652891902532e+00,2.173986487477634324e-06,4.969312900190563402e-04,3.786296256859692649e-02,9.616379321548965686e-01,3.835989385861537926e-02
2.983898416963182490e-02,2.960941742436132174e+00,2.206860242706287816e-06,5.018952472470243186e-04,3.804784648864555086e-02,9.614480514038646897e-01,3.854974173589198472e-02
3.027550982478155461e-02,2.960741066939912347e+00,2.241050864231673759e-06,5.070314557461194638e-04,3.823814699600271844e-02,9.612525804973869326e-01,3.874517845174807462e-02
3.071842157694186504e-02,2.960534456852224494e+00,2.276619694077286266e-06,5.123465062340694246e-04,3.843402027622480621e-02,9.610513565978470174e-01,3.894636678245966266e-02
3.116781285071343680e-02,2.960321737693696331e+00,2.313631391954035035e-06,5.178472723734145033e-04,3.863562686738086782e-02,9.608442122288537446e-01,3.915347413975567292e-02
3.162377843744036687e-02,2.960102729916853193e+00,2.352154138046242895e-06,5.235409242817121124e-04,3.884313177216913021e-02,9.606309751494110927e-01,3.936667269645077738e-02
3.208641451520480303e-02,2.959877248762621704e+00,2.392259849369140231e-06,5.294349427373975462e-04,3.905670457235506376e-02,9.604114682250581847e-01,3.958613951509448725e-02
3.255581866911400751e-02,2.959645104112994307e+00,2.434024410667651846e-06,5.355371341183622416e-04,3.927651954553729868e-02,9.601855092959337146e-01,3.981205667965426187e-02
3.303208991188421456e-02,2.959406100339758705e+00,2.477527920900729386e-06,5.418556461125319072e-04,3.950275578425308659e-02,9.599529110417134303e-01,4.004461143036763815e-02
3.351532870472573311e-02,2.959160036149232731e+00,2.522854956430978934e-06,5.483989842413630701e-04,3.973559731741514028e-02,9.597134808433870345e-01,4.028399630165502288e-02
3.400563697853348222e-02,2.958906704422859857e+00,2.570094852130698592e-06,5.551760292403461455e-04,3.997523323410317325e-02,9.594670206418043357e-01,4.053040926334183780e-02
3.450311815538756322e-02,2.958645892053633819e+00,2.619342001696957192e-06,5.621960553414779779e-04,4.022185780967813679e-02,9.592133267929786600e-01,4.078405386501948726e-02
3.500787717036831642e-02,2.958377379778212912e+00,2.670696178577512157e-06,5.694687495066498356e-04,4.047567063423838929e-02,9.589521899200763588e-01,4.104513938374232396e-02
3.552002049369060166e-02,2.958100942004648015e+00,2.724262879007488650e-06,5.770042316622703065e-04,4.073687674339053488e-02,9.586833947620682084e-01,4.131388097505173107e-02
3.603965615316189613e-02,2.957816346635641747e+00,2.780153688773530612e-06,5.848130759884571711e-04,4.100568675131502361e-02,9.584067200190077296e-01,4.159049982730245176e-02
3.656689375696885874e-02,2.957523354887208189e+00,2.838486675450790151e-06,5.929063333196583647e-04,4.128231698612581241e-02,9.581219381938790303e-01,4.187522331944570908e-02
3.710184451679725270e-02,2.957221721102677225e+00,2.899386807981341280e-06,6.012955547150996552e-04,4.156698962746863124e-02,9.578288154310082847e-01,4.216828518218385113e-02
3.764462127129016705e-02,2.956911192561916479e+00,2.962986405615978420e-06,6.099928162619120764e-04,4.185993284634328959e-02,9.575271113509892240e-01,4.246992566260310298e-02
3.819533850984943579e-02,2.956591509285686037e+00,3.029425618391829529e-06,6.190107451763817792e-04,4.216138094710591283e-02,9.572165788820993226e-01,4.278039169228264882e-02
3.875411239678514669e-02,2.956262403835033581e+00,3.098852941484988155e-06,6.283625472721067950e-04,4.247157451159774832e-02,9.568969640881886951e-01,4.309993705886938642e-02
3.932106079581847158e-02,2.955923601105613585e+00,3.171425765960756021e-06,6.380620358678037399e-04,4.279076054535281559e-02,9.565680059930133927e-01,4.342882258122138239e-02
3.989630329494302241e-02,2.955574818116849301e+00,3.247310968637825758e-06,6.481236622110968454e-04,4.311919262582270679e-02,9.562294364009975567e-01,4.376731628803298690e-02
4.047996123164993021e-02,2.955215763795837169e+00,3.326685543989652144e-06,6.585625474981006899e-04,4.345713105253421610e-02,9.558809797144236509e-01,4.411569360003397833e-02
4.107215771852183034e-02,2.954846138755887086e+00,3.409737281241309703e-06,6.693945165738067558e-04,4.380484299912146273e-02,9.555223527470234623e-01,4.447423751569523631e-02
4.167301766920133294e-02,2.954465635069607465e+00,3.496665490054871093e-06,6.806361334012259179e-04,4.416260266712002808e-02,9.551532645339887440e-01,4.484323880052265565e-02
4.228266782473941165e-02,2.954073936036440973e+00,3.587681778469313579e-06,6.923047383928970962e-04,4.453069144143782104e-02,9.547734161383908402e-01,4.522299617983271958e-02
4.290123678032931737e-02,2.953670715944547887e+00,3.683010887041635836e-06,7.044184877024649511e-04,4.490939804738606350e-02,9.543825004540243961e-01,4.561381653508966849e-02
4.352885501243143607e-02,2.953255639826947387e+00,3.782891583444291531e-06,7.169963945790263716e-04,4.529901870914433692e-02,9.539802020046932451e-01,4.601601510372255177e-02
4.416565490629506541e-02,2.952828363211826623e+00,3.887577622106635715e-06,7.300583728921272329e-04,4.569985730952269565e-02,9.535661967399631234e-01,4.642991568241683353e-02
4.481177078388276502e-02,2.952388531866911414e+00,3.997338773850824030e-06,7.436252829411613141e-04,4.611222555088503872e-02,9.531401518273999729e-01,4.685585083382548532e-02
4.546733893220339384e-02,2.951935781537825321e+00,4.112461930850148950e-06,7.577189796673232825e-04,4.653644311704714653e-02,9.527017254413546743e-01,4.729416209671732929e-02
4.613249763205937160e-02,2.951469737680347372e+00,4.233252292666025323e-06,7.723623633934194842e-04,4.697283783598735218e-02,9.522505665483265158e-01,4.774520019938144344e-02
4.680738718721467323e-02,2.950990015186462312e+00,4.360034639566381867e-06,7.875794332223621207e-04,4.742174584317414981e-02,9.517863146889639081e-01,4.820932527639776310e-02
4.749214995398945427e-02,2.950496218104147861e+00,4.493154699812767628e-06,8.033953432312573688e-04,4.788351174529007631e-02,9.513085997567788388e-01,4.868690708852341231e-02
4.818693037128776030e-02,2.949987939350811494e+00,4.632980618131739183e-06,8.198364616049746241e-04,4.835848878412416646e-02,9.508170417736527824e-01,4.917832524573206854e-02
4.889187499106437823e-02,2.949464760420283937e+00,4.779904533155939612e-06,8.369304328602880302e-04,4.884703900039569224e-02,9.503112506622108935e-01,4.968396943325892323e-02
4.960713250923735884e-02,2.948926251083328065e+00,4.934344272223021238e-06,8.547062433177580847e-04,4.934953339722007726e-02,9.497908260151899373e-01,5.020423964053755128e-02
5.033285379705294826e-02,2.948371969081563293e+00,5.096745172591643843e-06,8.731942899872324575e-04,4.986635210294413506e-02,9.492553568618959936e-01,5.073954639293276614e-02
5.106919193290933301e-02,2.947801459814775260e+00,5.267582038838703686e-06,8.924264530396618664e-04,5.039788453302901372e-02,9.487044214318924862e-01,5.129031098606873229e-02
5.181630223464570723e-02,2.947214256021523759e+00,5.447361246972607232e-06,9.124361720461740500e-04,5.094452955064331101e-02,9.481375869160635350e-01,5.185696572268838622e-02
5.257434229230411454e-02,2.946609877453021831e+00,5.636623006629103417e-06,9.332585261738989002e-04,5.150669562561059622e-02,9.475544092252088380e-01,5.243995415178304143e-02
5.334347200137012218e-02,2.945987830540231833e+00,5.835943793606178533e-06,9.549303185360899678e-04,5.208480099131528041e-02,9.469544327463550459e-01,5.303973130985184525e-02
5.412385359650025846e-02,2.945347608054136312e+00,6.045938965964587353e-06,9.774901649035416893e-04,5.267927379915871011e-02,9.463371900969718142e-01,5.365676396406193760e-02
