top,bottom,logmid,h
2.910656782287507127e+00,4.745094470779221418e-01,-5.916514886910128057e-01,2.024283038407785895e+00
2.950274992155148102e+00,4.959732256332849420e-01,-5.994856984615083428e-01,2.100217575200476361e+00
2.930689528669534027e+00,4.833735349745936771e-01,-5.669702799009835870e-01,2.079005966404800176e+00
2.946397474691825114e+00,4.865357668350073772e-01,-6.009381458177356361e-01,2.112597682422875156e+00
2.999998999999999416e+00,4.692795932787003355e-01,-5.992047880591993003e-01,2.208785968076562245e+00
2.999998999999999416e+00,2.812099887983467439e-01,-5.479440269687886333e-01,1.754585655365174635e+00
2.977012724744156902e+00,3.740032845010511919e-01,-5.695998386908249778e-01,1.882284971077459179e+00
2.995616045961655427e+00,3.142137294422543414e-01,-5.361098765284944001e-01,1.733170318899437401e+00
2.999998999999999416e+00,3.814417766170639656e-01,-6.104302162261298070e-01,1.946348062849671212e+00
2.915843044867656442e+00,4.688660965853960749e-01,-5.551771872250024220e-01,2.071988437141785599e+00
2.922686290497932049e+00,4.279052772098898005e-01,-5.291094082849367997e-01,2.168828313930520668e+00
2.978324142402717367e+00,4.809075724506818861e-01,-6.280493919323060226e-01,2.059828458842740240e+00
2.947601679275163367e+00,4.438101291077051758e-01,-5.733935477840794714e-01,2.093140638838477230e+00
2.999998999999999416e+00,4.136048767466161680e-01,-5.410407179664538102e-01,1.981985667170636178e+00
2.884014583594272541e+00,4.973513853061241052e-01,-5.379842678221309349e-01,2.142469095505496579e+00
2.972327023841945248e+00,5.185142139561343955e-01,-6.633973044090198945e-01,2.237500005662271807e+00
2.999998999999999416e+00,5.695533551799475402e-01,-6.847881690738591987e-01,2.161282781871933789e+00
2.898273277281369076e+00,4.259702057643160455e-01,-5.131435670011382788e-01,2.224964534449438869e+00
2.959805064869167612e+00,5.565430375235572713e-01,-6.547126884715283035e-01,2.414773224940971907e+00
2.999998999999999416e+00,4.800143586929020989e-01,-6.164348748265234823e-01,1.882100676037230746e+00
2.889441469018048103e+00,4.104886538437854671e-01,-4.743078501070429054e-01,1.896825537317953891e+00
2.866284713355484737e+00,5.071188277171563286e-01,-5.741171264482771708e-01,2.234503040663835538e+00
2.999998999999999416e+00,4.512167449781644413e-01,-6.049704017104885478e-01,1.925039982029464136e+00
2.942428081963868181e+00,3.752954759043575228e-01,-5.318747908431160631e-01,1.826666289862532100e+00
2.946711086909574284e+00,4.119682935155078440e-01,-5.540270457727952680e-01,2.016530728486984891e+00
2.999998999999999416e+00,5.337667782974705455e-01,-6.366966824694595406e-01,2.040293560954550056e+00
2.999998999999999416e+00,5.363256683809131120e-01,-6.765246886876596921e-01,1.879259889186514210e+00
