strain,time_min,protein,estimator,theta,point_physically_admissible,theta_lo,theta_hi,p0_lo,p0_hi,pn_lo,pn_hi,point_pn_min,point_p0_max,source_row
delta_glnB,2,GS,modified_over_total,0.620599513462968,True,0.4085735920098849,0.9094428153446877,0.0,0.591426407990115,0.0,0.9094428153446877,0,0.37940048653703196,33
delta_glnB,2,GS,paired_peptide_fraction,0.6569165901840845,True,0.5567704730785709,0.7381786103664998,0.0,0.44322952692142914,0.0,0.7381786103664998,0,0.34308340981591545,33
delta_glnB,5,GlnK,modified_over_total,0.1960734593084981,True,0,1,0.0,1.0,0.0,1.0,0,0.8039265406915019,34
delta_glnB,5,GlnK,paired_peptide_fraction,0.19307011553237416,True,0,1,0.0,1.0,0.0,1.0,0,0.8069298844676258,34
delta_glnB,5,GS,modified_over_total,0.6017135129336473,True,0,1,0.0,1.0,0.0,1.0,0,0.3982864870663527,34
delta_glnB,5,GS,paired_peptide_fraction,0.654855179762119,True,0,1,0.0,1.0,0.0,1.0,0,0.34514482023788096,34
delta_glnB,10,GlnK,modified_over_total,0.18659499332823423,True,0.008003707037973878,0.49810336297769864,0.0,0.9919962929620261,0.0,0.49810336297769864,0,0.8134050066717657,35
delta_glnB,10,GlnK,paired_peptide_fraction,0.18678463393393605,True,0.010695568461445001,0.3468185270803884,0.0,0.989304431538555,0.0,0.3468185270803884,0,0.8132153660660639,35
delta_glnB,10,GS,modified_over_total,0.5034342380674406,True,0.38105710284774835,0.7027395765898735,0.0,0.6189428971522517,0.0,0.7027395765898735,0,0.4965657619325594,35
delta_glnB,10,GS,paired_peptide_fraction,0.49869102411903926,True,0.4172751679228931,0.6025066124142449,0.0,0.5827248320771069,0.0,0.6025066124142449,0,0.5013089758809608,35
delta_glnB,30,GlnK,modified_over_total,0.27216097407690654,True,0.042901961986333594,0.5546707895375511,0.0,0.9570980380136664,0.0,0.5546707895375511,0,0.7278390259230935,36
delta_glnB,30,GlnK,paired_peptide_fraction,0.2624893765130018,True,0.047123611716761826,0.4650762019969902,0.0,0.9528763882832382,0.0,0.4650762019969902,0,0.7375106234869981,36
delta_glnB,30,GS,modified_over_total,0.44454725221733754,True,0.08631403858665326,0.9268402620577058,0.0,0.9136859614133468,0.0,0.9268402620577058,0,0.5554527477826625,36
delta_glnB,30,GS,paired_peptide_fraction,0.4340766061343754,True,0.09754831514001493,0.7649428505242456,0.0,0.9024516848599851,0.0,0.7649428505242456,0,0.5659233938656246,36
delta_glnK,-152.466666666667,GlnB,modified_over_total,0.6696555631287985,True,0,1,0.0,1.0,0.0,1.0,0.008966689386395554,0.3303444368712015,42
delta_glnK,-152.466666666667,GlnB,paired_peptide_fraction,0.7235300416767105,True,0,1,0.0,1.0,0.0,1.0,0.17059012503013182,0.27646995832328947,42
delta_glnK,-152.466666666667,GS,modified_over_total,0.07542401038775205,True,0,1,0.0,1.0,0.0,1.0,0,0.924575989612248,42
delta_glnK,-152.466666666667,GS,paired_peptide_fraction,0.06944920113119207,True,0,1,0.0,1.0,0.0,1.0,0,0.930550798868808,42
delta_glnK,-113.066666666667,GlnB,modified_over_total,1.0061046010781352,False,0,1,0.0,1.0,0.0,1.0,,,43
delta_glnK,-113.066666666667,GlnB,paired_peptide_fraction,0.9257653561716868,True,0,1,0.0,1.0,0.0,1.0,0.7772960685150601,0.07423464382831324,43
delta_glnK,-113.066666666667,GS,modified_over_total,0.09619298072428718,True,0,1,0.0,1.0,0.0,1.0,0,0.9038070192757128,43
delta_glnK,-113.066666666667,GS,paired_peptide_fraction,0.0889729835422155,True,0,0.7203367731009095,0.0,1.0,0.0,0.7203367731009095,0,0.9110270164577845,43
delta_glnK,-84.66666666666667,GlnB,modified_over_total,0.6667350287225255,True,0.023637533887436588,1,0.0,0.9763624661125634,0.0,1.0,0.00020508616757641818,0.33326497127747445,44
delta_glnK,-84.66666666666667,GlnB,paired_peptide_fraction,0.8932967698348581,True,0.15848291729387884,1,0.0,0.8415170827061211,0.0,1.0,0.6798903095045743,0.10670323016514194,44
delta_glnK,-84.66666666666667,GS,modified_over_total,0.042617063240948654,True,0,0.2691553705193938,0.0,1.0,0.0,0.2691553705193938,0,0.9573829367590514,44
delta_glnK,-84.66666666666667,GS,paired_peptide_fraction,0.03989333185421179,True,0,0.23451940033668686,0.0,1.0,0.0,0.23451940033668686,0,0.9601066681457882,44
delta_glnK,-52.06666666666667,GlnB,modified_over_total,0.7392776332483786,True,0,1,0.0,1.0,0.0,1.0,0.21783289974513576,0.2607223667516214,45
delta_glnK,-52.06666666666667,GlnB,paired_peptide_fraction,0.8990513234921567,True,0,1,0.0,1.0,0.0,1.0,0.69715397047647,0.10094867650784334,45
delta_glnK,-52.06666666666667,GS,modified_over_total,0.0413955601269492,True,0,0.8171632424288516,0.0,1.0,0.0,0.8171632424288516,0,0.9586044398730508,45
delta_glnK,-52.06666666666667,GS,paired_peptide_fraction,0.040110155128769726,True,0,0.31236685578838314,0.0,1.0,0.0,0.31236685578838314,0,0.9598898448712303,45
delta_glnK,-25.26666666666667,GlnB,modified_over_total,0.8737426305617899,True,0.34013140364288846,1,0.0,0.6598685963571116,0.0,1.0,0.6212278916853697,0.1262573694382101,46
delta_glnK,-25.26666666666667,GlnB,paired_peptide_fraction,0.9081275407313455,True,0.602810320727905,1,0.0,0.39718967927209503,0.0,1.0,0.7243826221940366,0.0918724592686545,46
delta_glnK,-25.26666666666667,GS,modified_over_total,0.057713724329227785,True,0.009638199915077486,0.44946866648066686,0.0,0.9903618000849225,0.0,0.44946866648066686,0,0.9422862756707722,46
delta_glnK,-25.26666666666667,GS,paired_peptide_fraction,0.054106890285708614,True,0.009106174903415767,0.3964339646348409,0.0,0.9908938250965842,0.0,0.3964339646348409,0,0.9458931097142914,46
delta_glnK,-6.466666666666659,GlnB,modified_over_total,0.7920112519306718,True,0.020647531706522993,1,0.0,0.979352468293477,0.0,1.0,0.37603375579201526,0.2079887480693282,47
delta_glnK,-6.466666666666659,GlnB,paired_peptide_fraction,0.9187324325458891,True,0.11393087997134038,1,0.0,0.8860691200286597,0.0,1.0,0.7561972976376672,0.0812675674541109,47
delta_glnK,-6.466666666666659,GS,modified_over_total,0.05066191521177345,True,0,1,0.0,1.0,0.0,1.0,0,0.9493380847882266,47
delta_glnK,-6.466666666666659,GS,paired_peptide_fraction,0.04676575526430754,True,0,0.774755737997344,0.0,1.0,0.0,0.774755737997344,0,0.9532342447356925,47
delta_glnK,0.5,GlnB,modified_over_total,0.2855218830105419,True,0.09973555163082697,1,0.0,0.9002644483691731,0.0,1.0,0,0.7144781169894581,48
delta_glnK,0.5,GlnB,paired_peptide_fraction,0.23278787608359752,True,0.09557893253471615,1,0.0,0.9044210674652838,0.0,1.0,0,0.7672121239164025,48
