# S5 Fig B: parameters in results/counterexamples_parameters.json (condition_i)
l,R
4.8752595713081284e-05,-0.7205322316350038
4.8947061477740525e-05,-0.7200926235190498
4.91423029330696e-05,-0.7196516686125851
4.933832317316588e-05,-0.7192093641775312
4.953512530446861e-05,-0.7187657074798753
4.973271244580804e-05,-0.7183206957897463
4.993108772845483e-05,-0.7178743263815012
5.013025429617004e-05,-0.7174265965338016
5.0330215305254346e-05,-0.7169775035296997
5.0530973924598465e-05,-0.716527044656718
5.07325333357333e-05,-0.7160752172069337
5.093489673288031e-05,-0.7156220184770608
5.1138067323002164e-05,-0.7151674457685344
5.134204832585346e-05,-0.7147114963875931
5.154684297403216e-05,-0.7142541676453665
5.175245451303018e-05,-0.7137954568579559
5.195888620128527e-05,-0.7133353613465223
5.2166141310232506e-05,-0.7128738784373699
5.237422312435619e-05,-0.7124110054620343
5.258313494124184e-05,-0.711946739757367
5.27928800716284e-05,-0.7114810786656222
5.3003461839461084e-05,-0.7110140195345431
5.321488358194345e-05,-0.7105455597174521
5.342714864959067e-05,-0.7100756965733356
5.364026040628259e-05,-0.7096044274669334
5.385422222931696e-05,-0.7091317497688266
5.40690375094629e-05,-0.7086576608555277
5.428470965101506e-05,-0.7081821581095696
5.45012420718469e-05,-0.7077052389195937
5.471863820346531e-05,-0.7072269006804409
5.4936901491064866e-05,-0.7067471407932436
5.5156035393582445e-05,-0.7062659566655134
5.537604338375203e-05,-0.705783345711236
5.559692894815962e-05,-0.7052993053509584
5.581869558729897e-05,-0.7048138330118842
5.604134681562634e-05,-0.7043269261279642
5.62648861616167e-05,-0.7038385821399884
5.6489317167819475e-05,-0.7033487984956827
5.671464339091473e-05,-0.7028575726497976
5.69408684017695e-05,-0.7023649020642041
5.7167995785494315e-05,-0.7018707842079868
5.7396029141500415e-05,-0.7013752165575391
5.7624972083556136e-05,-0.700878196596659
5.785482823984463e-05,-0.7003797218166432
5.808560125302128e-05,-0.6998797897163807
5.831729478027135e-05,-0.6993783978024497
5.854991249336803e-05,-0.6988755435892168
5.8783458078730434e-05,-0.6983712245989296
5.901793523748257e-05,-0.6978654383618152
5.9253347685511204e-05,-0.6973581824161758
5.948969915352526e-05,-0.6968494543084901
5.9726993387114847e-05,-0.6963392515935061
5.996523414681056e-05,-0.6958275718343437
6.0204425208143016e-05,-0.6953144126025896
6.0444570361703125e-05,-0.6947997714783987
6.068567341320144e-05,-0.6942836460505923
6.0927738183529e-05,-0.6937660339167567
6.117076850881769e-05,-0.693246932683347
6.141476824050107e-05,-0.6927263399657796
6.165974124537545e-05,-0.6922042533885421
6.190569140566095e-05,-0.6916806705852854
6.215262261906362e-05,-0.6911555891989308
6.24005387988364e-05,-0.6906290068817685
6.264944387384163e-05,-0.6901009212955611
6.289934178861325e-05,-0.6895713301116428
6.315023650341924e-05,-0.689040231011026
6.340213199432443e-05,-0.6885076216844985
6.365503225325337e-05,-0.6879734998327327
6.390894128805408e-05,-0.6874378631663814
6.416386312256083e-05,-0.68690070940619
6.441980179665836e-05,-0.686362036283092
6.467676136634591e-05,-0.6858218415383186
6.493474590380132e-05,-0.6852801229235008
6.519375949744567e-05,-0.6847368782007746
6.545380625200799e-05,-0.6841921051428866
6.571489028859065e-05,-0.6836458015332976
6.597701574473411e-05,-0.6830979651662878
6.624018677448283e-05,-0.6825485938470663
6.650440754845107e-05,-0.681997685391873
6.676968225388893e-05,-0.6814452376280863
6.703601509474865e-05,-0.6808912483943307
6.73034102917517e-05,-0.6803357155405815
6.757187208245483e-05,-0.6797786369282737
6.78414047213179e-05,-0.679220010430409
6.811201247977102e-05,-0.6786598339316624
6.838369964628233e-05,-0.6780981053284902
6.865647052642593e-05,-0.6775348225292392
6.893032944294996e-05,-0.6769699834542547
6.920528073584574e-05,-0.6764035860359864
6.948132876241559e-05,-0.6758356282191016
6.975847789734253e-05,-0.6752661079605901
7.003673253275943e-05,-0.6746950232298765
7.031609707831866e-05,-0.6741223720089273
7.05965759612619e-05,-0.6735481522923621
