# S2 Fig: sup over the input of the ladder factor nu for the three-site ladder c = (1, 3a, 3b, 1); a = b = 1 is the binomial ladder (nu = 1); the bound nu <= 3 is approached as a, b -> 0
log10_a,log10_b,nu_sup
2.5,-2.4,1.9944634499193843
2.6000000000000005,-2.4,1.9948759151140996
2.7,-2.4,1.9952589952402444
2.8000000000000007,-2.4,1.9956007581458721
2.9000000000000004,-2.4,1.9959285361305368
3.0,-2.4,1.99623329347927
-3.0,-2.3,2.9767165310331727
-2.9,-2.3,2.9756229945796338
-2.8,-2.3,2.9742474907958933
-2.7,-2.3,2.972517696823035
-2.6,-2.3,2.9703429618351875
-2.5,-2.3,2.967699417434072
-2.4,-2.3,2.964506994449176
-2.3,-2.3,2.9604989440583998
-2.2,-2.3,2.9554704074923266
-2.1,-2.3,2.9491670963386545
-2.0,-2.3,2.9415119753862116
-1.9,-2.3,2.932099363491162
-1.7999999999999998,-2.3,2.9203584558930435
-1.7,-2.3,2.905746897651842
-1.5999999999999999,-2.3,2.8876143199177036
-1.5,-2.3,2.8656143091658803
-1.4,-2.3,2.8388758144769217
-1.2999999999999998,-2.3,2.8062293379235324
-1.2,-2.3,2.766640419821722
-1.0999999999999999,-2.3,2.7191743862588633
-1.0,-2.3,2.664428032356671
-0.8999999999999999,-2.3,2.6003807688299614
-0.7999999999999998,-2.3,2.527856776288808
-0.6999999999999997,-2.3,2.4480905200104335
-0.5999999999999996,-2.3,2.3638684917302912
-0.5,-2.3,2.278367741666489
-0.3999999999999999,-2.3,2.197427739792315
-0.2999999999999998,-2.3,2.1269198098447237
-0.19999999999999973,-2.3,2.072029745849408
-0.09999999999999964,-2.3,2.0330590416701066
0.0,-2.3,2.0081355919147796
0.10000000000000009,-2.3,1.9929740685195012
0.20000000000000018,-2.3,1.9843581349152795
0.30000000000000027,-2.3,1.9796686485808987
0.40000000000000036,-2.3,1.9773262952494408
0.5,-2.3,1.9766012712560486
0.6000000000000001,-2.3,1.9766800689624295
0.7000000000000002,-2.3,1.9772930664813875
0.8000000000000003,-2.3,1.978241575321271
0.9000000000000004,-2.3,1.979358609145526
1.0,-2.3,1.9805109421193456
1.1000000000000005,-2.3,1.9817633656199674
1.2000000000000002,-2.3,1.9829308271616506
1.2999999999999998,-2.3,1.9840885650845037
1.4000000000000004,-2.3,1.9852105664283266
1.5,-2.3,1.9862280079322367
1.6000000000000005,-2.3,1.9872227497243689
1.7000000000000002,-2.3,1.9881553333183526
1.8000000000000007,-2.3,1.9889927958287776
1.9000000000000004,-2.3,1.989805628240541
2.0,-2.3,1.990560166620083
2.1000000000000005,-2.3,1.9912351303247153
2.2,-2.3,1.9918872678169985
2.3000000000000007,-2.3,1.9924914020480793
2.4000000000000004,-2.3,1.9930309312458032
2.5,-2.3,1.9935505537438063
2.6000000000000005,-2.3,1.9940322201292
2.7,-2.3,1.9944620474276749
2.8000000000000007,-2.3,1.9948750302002964
2.9000000000000004,-2.3,1.9952583687671979
3.0,-2.3,1.9956003146357144
-3.0,-2.2,2.9718498773539173
-2.9,-2.2,2.9707604801580625
-2.8,-2.2,2.9693901807876033
-2.7,-2.2,2.9676669283370836
-2.6,-2.2,2.965500412122056
-2.5,-2.2,2.9627775626747415
-2.4,-2.2,2.9594630916952305
-2.3,-2.2,2.9554704074923257
-2.2,-2.2,2.950461120045915
-2.1,-2.2,2.944181891542366
-2.0,-2.2,2.936319399718963
-1.9,-2.2,2.926807648472974
-1.7999999999999998,-2.2,2.9151158221055273
-1.7,-2.2,2.900565007864612
-1.5999999999999999,-2.2,2.882507293363247
-1.5,-2.2,2.8601754060075315
-1.4,-2.2,2.8334855183997436
-1.2999999999999998,-2.2,2.80099212691851
-1.2,-2.2,2.7615851930594086
-1.0999999999999999,-2.2,2.7141758051010076
-1.0,-2.2,2.659338597109645
-0.8999999999999999,-2.2,2.595616050062581
-0.7999999999999998,-2.2,2.5229708874265353
-0.6999999999999997,-2.2,2.4436490568751195
-0.5999999999999996,-2.2,2.359478478019643
-0.5,-2.2,2.2741216339189254
-0.3999999999999999,-2.2,2.1930244383686555
-0.2999999999999998,-2.2,2.12272030833134
-0.19999999999999973,-2.2,2.067588768731946
-0.09999999999999964,-2.2,2.028672184574497
0.0,-2.2,2.003384260425261
0.10000000000000009,-2.2,1.9882828456016
0.20000000000000018,-2.2,1.9795577946557297
0.30000000000000027,-2.2,1.9749152605117506
0.40000000000000036,-2.2,1.972767009774366
0.5,-2.2,1.9720717886014827
0.6000000000000001,-2.2,1.9724240982330032
0.7000000000000002,-2.2,1.9732602884528134
0.8000000000000003,-2.2,1.9744724397480555
0.9000000000000004,-2.2,1.9757657426033821
1.0,-2.2,1.977251824595169
1.1000000000000005,-2.2,1.9786572858712825
1.2000000000000002,-2.2,1.9800680965781547
1.2999999999999998,-2.2,1.9814497226517618
1.4000000000000004,-2.2,1.9827087176876284
1.5,-2.2,1.983948389271845
1.6000000000000005,-2.2,1.985111315013558
1.7000000000000002,-2.2,1.9861577358580016
1.8000000000000007,-2.2,1.9871784076121315
1.9000000000000004,-2.2,1.9881239397990786
2.0,-2.2,1.9889705700311187
2.1000000000000005,-2.2,1.9897916043665242
2.2,-2.2,1.9905502382564075
2.3000000000000007,-2.2,1.99122810146429
2.4000000000000004,-2.2,1.9918828328716058
2.5,-2.2,1.9924882623147868
2.6000000000000005,-2.2,1.9930287084675562
2.7,-2.2,1.9935491512622003
2.8000000000000007,-2.2,1.9940312272429859
2.9000000000000004,-2.2,1.9944613445152113
3.0,-2.2,1.9948745866923292
-3.0,-2.1,2.965783508331303
-2.9,-2.1,2.96466781494735
-2.8,-2.1,2.963304021806652
-2.7,-2.1,2.9615889471849175
-2.6,-2.1,2.959432705645751
-2.5,-2.1,2.956722758697195
-2.4,-2.1,2.9533184069569263
-2.3,-2.1,2.9491670963386545
-2.2,-2.1,2.944181891542366
-2.1,-2.1,2.9379327932648627
-2.0,-2.1,2.930107938135646
-1.9,-2.1,2.9203233816376377
-1.7999999999999998,-2.1,2.9085433204632865
