G_over_K,bound_exchange_rate,lambda,free_modified_fraction,total_modified_fraction,no_exchange_free_fraction,residual
2.999999999999999889e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.948013974206008081e-01,9.951046719250540296e-01,9.975672583987201802e-01,1.413816086006702605e-13
2.999999999999999889e-01,1.000000000000000000e+00,4.000000000000000000e+00,9.950908630949478750e-01,9.954186647292605494e-01,9.975672583987200692e-01,1.301042606982605321e-18
2.999999999999999889e-01,1.778279410038922759e+00,1.000000000000000000e+00,9.945440631923486707e-01,9.948582076207139746e-01,9.975672583987201802e-01,1.086309166941799506e-17
2.999999999999999889e-01,1.778279410038922759e+00,4.000000000000000000e+00,9.947279821236485464e-01,9.950753638490169584e-01,9.975672583987200692e-01,5.468784664147143502e-14
2.999999999999999889e-01,3.162277660168379523e+00,1.000000000000000000e+00,9.943761912607212983e-01,9.946970528011558343e-01,9.975672583987201802e-01,2.032704820310104001e-12
2.999999999999999889e-01,3.162277660168379523e+00,4.000000000000000000e+00,9.944730298772216370e-01,9.948334192956627131e-01,9.975672583987200692e-01,2.018797468299573291e-15
2.999999999999999889e-01,5.623413251903491172e+00,1.000000000000000000e+00,9.942730030181083922e-01,9.945978422562142818e-01,9.975672583987201802e-01,2.602085213965210642e-18
2.999999999999999889e-01,5.623413251903491172e+00,4.000000000000000000e+00,9.943084856221309220e-01,9.946769246809211706e-01,9.975672583987200692e-01,8.014456340330738948e-17
2.999999999999999889e-01,1.000000000000000000e+01,1.000000000000000000e+00,9.942118793482562777e-01,9.945390193032506154e-01,9.975672583987201802e-01,4.033579365154450758e-16
2.999999999999999889e-01,1.000000000000000000e+01,4.000000000000000000e+00,9.942080342234589363e-01,9.945812490261234373e-01,9.975672583987200692e-01,7.700377875565186437e-13
2.999999999999999889e-01,1.778279410038922848e+01,1.000000000000000000e+00,9.941764640243575535e-01,9.945049178825247083e-01,9.975672583987201802e-01,4.089293465479870715e-14
2.999999999999999889e-01,1.778279410038922848e+01,4.000000000000000000e+00,9.941487789366008077e-01,9.945247604290120558e-01,9.975672583987200692e-01,1.982256317665465821e-13
2.999999999999999889e-01,3.162277660168379256e+01,1.000000000000000000e+00,9.941562065705328299e-01,9.944854056115904894e-01,9.975672583987201802e-01,4.466912950640278268e-17
2.999999999999999889e-01,3.162277660168379256e+01,4.000000000000000000e+00,9.941145300824923980e-01,9.944920933390738460e-01,9.975672583987200692e-01,6.571503950947516284e-17
2.999999999999999889e-01,5.623413251903490817e+01,1.000000000000000000e+00,9.941447045854987508e-01,9.944743246625814548e-01,9.975672583987201802e-01,6.602997165322023205e-14
2.999999999999999889e-01,5.623413251903490817e+01,4.000000000000000000e+00,9.940949674804694380e-01,9.944734284685408099e-01,9.975672583987200692e-01,3.632560086606374805e-16
2.999999999999999889e-01,1.000000000000000000e+02,1.000000000000000000e+00,9.941382012296949844e-01,9.944680586995789939e-01,9.975672583987201802e-01,8.495837609286935365e-13
2.999999999999999889e-01,1.000000000000000000e+02,4.000000000000000000e+00,9.940838689674942330e-01,9.944628373976044378e-01,9.975672583987200692e-01,1.712033774661019209e-13
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.893730667424024405e-01,9.884825167615024499e-01,9.893730667424024405e-01,6.885107311756580306e-18
1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,9.893730667424024405e-01,9.885902354125303271e-01,9.893730667424024405e-01,1.900318417165022811e-18
1.000000000000000000e+00,1.000000000000000048e-04,1.000000000000000000e+00,9.893639232484575663e-01,9.884776103688189819e-01,9.893730667424024405e-01,1.845911002803596540e-15
