eta,G_uM,fixed_free_GS_gap,closed_GS_gap,RHS
0.0001623776739188721,972.4924724660731,5.218507624693558e-06,1.2579950052438171e-05,1.942890293094024e-16
0.0001623776739188721,1135.9533548066277,2.7335951582330154e-06,1.0431007303357553e-05,7.632783294297951e-16
0.0001623776739188721,1326.889473009725,1.4639769018165438e-06,8.005280930367675e-06,1.8041124150158794e-16
0.0001623776739188721,1549.918987548337,8.117430317922114e-07,5.897406979427089e-06,7.771561172376096e-16
0.0001623776739188721,1810.4362999534146,4.6848473944649527e-07,4.2642314516117e-06,5.898059818321144e-16
0.0001623776739188721,2114.7425268811285,2.8159102816172066e-07,3.0678241841330944e-06,5.134781488891349e-16
0.0001623776739188721,2470.1979048446246,1.7584114597735123e-07,2.2127745874511717e-06,7.077671781985373e-16
0.0001623776739188721,2885.3998118144273,1.1359379326059127e-07,1.605452189634704e-06,1.3877787807814457e-16
0.0001623776739188721,3370.3907114852836,7.553012493222155e-08,1.1721176630397068e-06,5.551115123125783e-16
0.0001623776739188721,3936.9010497450113,5.142481640518781e-08,8.598772210932637e-07,6.38378239159465e-16
0.0001623776739188721,4598.632978267703,3.568016548882724e-08,6.323712801181713e-07,5.689893001203927e-16
0.0001623776739188721,5371.591767636877,2.512260799392152e-08,4.649735408923661e-07,5.828670879282072e-16
0.0001623776739188721,6274.472925867966,1.7888484249439784e-08,3.409532519649261e-07,4.579669976578771e-16
0.0001623776739188721,7329.114385542688,1.2845095986868671e-08,2.487682539964453e-07,3.400058012914542e-16
0.0001623776739188721,8561.024696578494,9.281204582656244e-09,1.802707728648656e-07,2.1510571102112408e-16
0.0001623776739188721,10000.0,6.736660451700516e-09,1.2955816885984461e-07,3.95516952522712e-16
0.00026366508987303583,20.0,1.0696988675157511e-10,1.069523019410143e-10,1.0408340855860843e-17
0.00026366508987303583,23.361689410840295,1.7449332731229832e-10,1.7482012083618048e-10,1.0408340855860843e-17
0.00026366508987303583,27.288426606428374,2.99470220811119e-10,3.007443794597175e-10,1.0408340855860843e-17
0.00026366508987303583,31.87518734449451,5.395044932717322e-10,5.433017765603225e-10,3.469446951953614e-18
0.00026366508987303583,37.23291133272139,1.0166914690776935e-09,1.02715129088847e-09,1.3877787807814457e-17
0.00026366508987303583,43.49118552081964,1.9953947495514844e-09,2.0234720148363736e-09,1.3877787807814457e-17
0.00026366508987303583,50.80137841233114,4.05838109033543e-09,4.133246839189628e-09,1.3877787807814457e-17
